transaction_id,timestamp,amount,hour_of_day,day_of_week,merchant_category,merchant_category_encoded,transaction_velocity_1h,transaction_velocity_24h,avg_transaction_amount,amount_deviation,is_international,is_online,card_age_days,account_balance_ratio,cardholder_country,merchant_country,label,label_text
TXN-L04257,2024-03-29 16:30:00,226.9,12,3,Healthcare,3,3,8,85.27,-0.8413,0,1,807,0.141,UK,US,0,legitimate
TXN-L03862,2024-03-21 11:00:00,54.21,12,5,Retail,2,2,5,79.1,1.1002,0,0,2363,0.5155,US,US,0,legitimate
TXN-L00023,2024-01-01 11:30:00,13.13,16,0,Food & Dining,6,4,2,20.13,-0.5311,0,0,3467,0.1079,AU,US,0,legitimate
TXN-L02633,2024-02-24 20:30:00,74.54,9,2,Education,5,1,11,45.57,1.0425,0,0,3292,0.5396,AU,CA,0,legitimate
TXN-L03340,2024-03-10 14:00:00,110.62,20,6,Travel,5,1,7,123.91,-0.964,0,1,3462,0.5405,US,CA,0,legitimate
TXN-L02215,2024-02-16 03:30:00,71.23,12,4,Food & Dining,6,0,5,208.61,0.9149,0,1,2494,0.3802,US,US,0,legitimate
TXN-L03682,2024-03-17 17:00:00,65.28,13,4,Travel,3,0,4,32.04,0.058,0,0,1728,0.2332,UK,UK,0,legitimate
TXN-L04724,2024-04-08 10:00:00,50.35,20,4,Retail,4,1,4,17.65,-0.3667,0,0,2243,0.1663,US,UK,0,legitimate
TXN-L01907,2024-02-09 17:30:00,17.69,18,3,Utilities,3,1,3,33.83,-0.3981,0,1,1648,0.0815,US,US,0,legitimate
TXN-L00084,2024-01-02 18:00:00,24.33,17,1,Food & Dining,2,2,3,46.7,-0.7661,0,0,2528,0.3544,CA,US,0,legitimate
TXN-L00227,2024-01-05 17:30:00,18.58,21,6,Travel,1,4,2,81.48,0.8556,0,0,738,0.0918,US,CA,0,legitimate
TXN-L00296,2024-01-07 04:00:00,134.24,13,0,Food & Dining,2,1,3,9.98,0.8522,0,1,197,0.0096,AU,UK,0,legitimate
TXN-L01001,2024-01-21 20:30:00,137.64,17,0,Travel,0,3,5,44.3,-0.5342,0,0,1353,0.4692,US,UK,0,legitimate
TXN-L02138,2024-02-14 13:00:00,15.81,18,0,Travel,3,0,5,22.29,0.2912,1,0,585,0.2779,US,US,0,legitimate
TXN-L00711,2024-01-15 19:30:00,49.57,17,3,Retail,2,0,5,24.14,0.4621,0,1,2523,0.1512,AU,UK,0,legitimate
TXN-L02801,2024-02-28 08:30:00,806.77,16,0,Retail,1,0,6,121.23,1.7252,0,1,2508,0.0532,US,CA,0,legitimate
TXN-L02527,2024-02-22 15:30:00,100.17,19,5,Food & Dining,5,2,6,29.21,1.3681,0,0,701,0.5791,UK,UK,0,legitimate
TXN-L03752,2024-03-19 04:00:00,191.11,15,1,Entertainment,2,2,5,73.78,0.1409,0,0,2094,0.151,US,UK,0,legitimate
TXN-L03321,2024-03-10 04:30:00,22.11,8,0,Retail,0,0,7,28.59,1.7549,0,0,2472,0.4619,US,US,0,legitimate
TXN-L03181,2024-03-07 06:30:00,92.03,10,0,Travel,5,2,6,11.78,0.5912,0,0,2982,0.5758,US,UK,0,legitimate
TXN-L04183,2024-03-28 03:30:00,30.42,12,6,Travel,2,2,6,44.46,-0.8868,1,1,2666,0.1849,US,US,0,legitimate
TXN-L01615,2024-02-03 15:30:00,1330.23,13,3,Travel,5,1,7,49.49,0.9728,0,0,2441,0.4713,AU,US,0,legitimate
TXN-L03024,2024-03-04 00:00:00,8.42,13,5,Travel,0,3,4,39.74,0.375,0,1,1520,0.3935,US,US,0,legitimate
TXN-L01413,2024-01-30 10:30:00,475.8,9,1,Entertainment,3,0,5,19.19,-1.502,0,1,607,0.1888,UK,CA,0,legitimate
TXN-L00763,2024-01-16 21:30:00,49.6,10,0,Healthcare,6,1,3,68.15,-0.6036,0,0,1920,0.1906,US,UK,0,legitimate
TXN-L00655,2024-01-14 15:30:00,57.93,19,6,Utilities,3,0,3,344.76,-2.0865,0,0,3254,0.0827,UK,US,0,legitimate
TXN-F00047,2024-01-04 22:00:00,117.8,0,3,Crypto Exchange,8,8,24,74.49,5.3257,1,1,27,0.9514,UK,PH,1,fraud
TXN-L03849,2024-03-21 04:30:00,13.02,18,6,Entertainment,6,0,5,97.98,-0.3792,0,0,3299,0.2733,US,CA,0,legitimate
TXN-L04153,2024-03-27 12:30:00,25.87,20,1,Healthcare,4,2,6,391.82,1.2425,0,1,1103,0.4891,US,US,0,legitimate
TXN-L00468,2024-01-10 18:00:00,32.12,16,5,Travel,1,0,5,51.33,1.5468,0,0,2076,0.4301,US,CA,0,legitimate
TXN-L00157,2024-01-04 06:30:00,87.69,21,4,Utilities,2,0,4,56.66,-0.7436,0,0,1428,0.1179,US,CA,0,legitimate
TXN-L01295,2024-01-27 23:30:00,49.46,14,0,Healthcare,1,3,2,64.37,0.2251,0,1,1229,0.1442,US,CA,0,legitimate
TXN-L00497,2024-01-11 08:30:00,45.14,13,0,Utilities,1,2,7,136.53,-0.6556,0,1,270,0.4309,US,UK,0,legitimate
TXN-L04740,2024-04-08 18:00:00,91.73,12,1,Entertainment,4,3,6,21.9,-1.101,0,1,1288,0.1303,US,US,0,legitimate
TXN-L02940,2024-03-02 06:00:00,147.91,14,0,Entertainment,5,1,7,15.06,0.4115,0,0,2219,0.076,AU,US,0,legitimate
TXN-L03456,2024-03-13 00:00:00,162.19,17,0,Food & Dining,5,1,8,37.65,-0.0732,0,0,2121,0.1828,US,US,0,legitimate
TXN-L00373,2024-01-08 18:30:00,142.49,17,0,Retail,1,0,6,60.77,-0.5185,0,0,526,0.1634,US,UK,0,legitimate
TXN-L00079,2024-01-02 15:30:00,7.48,12,2,Utilities,4,1,6,32.86,-0.0327,0,0,503,0.5758,UK,US,0,legitimate
TXN-L01553,2024-02-02 08:30:00,23.88,10,6,Retail,3,1,4,60.55,-1.7123,1,0,1793,0.2628,US,UK,0,legitimate
TXN-L01669,2024-02-04 18:30:00,94.32,16,5,Food & Dining,5,2,6,78.65,1.4147,0,1,710,0.5691,CA,CA,0,legitimate
TXN-L02131,2024-02-14 09:30:00,55.68,9,2,Retail,4,1,2,79.94,0.9525,0,0,784,0.3688,US,US,0,legitimate
TXN-L04439,2024-04-02 11:30:00,90.03,19,5,Retail,6,0,5,20.87,0.4012,1,1,1008,0.149,US,CA,0,legitimate
TXN-L00465,2024-01-10 16:30:00,43.77,16,2,Healthcare,4,0,5,62.71,-0.3268,0,0,2055,0.1778,US,CA,0,legitimate
TXN-L00248,2024-01-06 04:00:00,319.08,21,1,Utilities,4,0,3,26.06,0.1815,0,0,1301,0.3011,US,US,0,legitimate
TXN-L00931,2024-01-20 09:30:00,358.22,20,3,Travel,6,1,3,24.65,-0.8925,0,1,3445,0.3558,AU,CA,0,legitimate
TXN-L01335,2024-01-28 19:30:00,38.97,17,3,Education,6,0,5,54.94,0.3424,0,1,2492,0.3774,AU,CA,0,legitimate
TXN-L04524,2024-04-04 06:00:00,177.71,12,3,Education,5,1,8,17.99,-0.1593,0,1,2772,0.5417,AU,US,0,legitimate
TXN-L01338,2024-01-28 21:00:00,37.03,9,3,Food & Dining,4,1,9,8.77,-0.2988,0,0,188,0.3389,US,US,0,legitimate
TXN-L01406,2024-01-30 07:00:00,13.17,16,4,Retail,2,0,5,69.45,-0.5977,1,0,2360,0.3221,UK,US,0,legitimate
TXN-L01090,2024-01-23 17:00:00,50.83,16,3,Food & Dining,5,0,5,14.59,-0.1437,0,0,2118,0.356,AU,US,0,legitimate
TXN-L04209,2024-03-28 16:30:00,17.71,10,3,Utilities,3,2,3,157.74,-0.0474,0,0,506,0.4138,AU,US,0,legitimate
TXN-L00742,2024-01-16 11:00:00,29.23,18,4,Healthcare,2,2,11,141.02,0.9121,0,0,735,0.4926,AU,US,0,legitimate
TXN-L02323,2024-02-18 09:30:00,291.34,11,3,Retail,3,0,8,128.13,1.1149,0,0,2978,0.4,US,UK,0,legitimate
TXN-L03601,2024-03-16 00:30:00,26.6,14,0,Entertainment,6,1,9,36.07,0.2042,0,0,1491,0.1778,US,CA,0,legitimate
TXN-L02123,2024-02-14 05:30:00,41.98,19,1,Entertainment,1,0,5,33.71,0.2145,0,0,2211,0.1088,CA,US,0,legitimate
TXN-L02094,2024-02-13 15:00:00,154.33,14,1,Food & Dining,5,0,5,100.19,-0.4756,0,0,2547,0.2447,AU,CA,0,legitimate
TXN-L00240,2024-01-06 00:00:00,24.72,11,5,Travel,0,1,4,10.37,0.2986,1,0,1710,0.3105,US,UK,0,legitimate
TXN-L02351,2024-02-18 23:30:00,101.19,18,6,Education,6,0,4,38.39,0.5903,0,0,371,0.5487,US,CA,0,legitimate
TXN-L01370,2024-01-29 13:00:00,45.93,14,1,Utilities,2,1,3,17.82,-0.3637,0,1,835,0.0756,US,US,0,legitimate
TXN-L01057,2024-01-23 00:30:00,176.4,15,1,Retail,1,2,3,106.36,0.7279,0,0,3193,0.4065,US,US,0,legitimate
TXN-F00066,2024-01-06 12:00:00,3318.02,1,1,Travel,7,7,11,4.93,5.6644,1,1,27,0.8447,UK,RU,1,fraud
TXN-L00199,2024-01-05 03:30:00,17.41,18,5,Healthcare,5,1,3,101.53,0.7656,0,1,2916,0.4319,US,UK,0,legitimate
TXN-L02280,2024-02-17 12:00:00,9.72,17,1,Utilities,2,2,8,30.17,-0.0683,0,0,1777,0.4738,US,UK,0,legitimate
TXN-L04749,2024-04-08 22:30:00,60.21,19,0,Retail,5,1,7,121.94,-0.9681,0,1,2496,0.1997,CA,CA,0,legitimate
TXN-L02220,2024-02-16 06:00:00,38.16,16,0,Education,2,1,10,138.64,-0.2669,0,1,1600,0.0402,US,CA,0,legitimate
TXN-F00021,2024-01-02 18:00:00,275.92,1,3,Crypto Exchange,9,8,21,11.02,4.7127,1,1,20,0.8774,US,RU,1,fraud
TXN-L02819,2024-02-28 17:30:00,7.94,21,2,Food & Dining,5,2,5,30.71,-0.0699,0,0,1006,0.0073,US,UK,0,legitimate
TXN-L03150,2024-03-06 15:00:00,126.72,13,5,Education,6,2,2,48.04,-0.7084,0,0,918,0.1677,US,US,0,legitimate
TXN-L04256,2024-03-29 16:00:00,23.66,21,3,Education,6,2,9,39.48,-0.2657,0,0,2112,0.136,US,UK,0,legitimate
TXN-L03107,2024-03-05 17:30:00,96.78,14,3,Food & Dining,0,2,3,18.9,1.0709,0,0,2221,0.1708,AU,US,0,legitimate
TXN-L01973,2024-02-11 02:30:00,66.34,19,6,Entertainment,0,0,11,13.14,-0.4032,0,0,1784,0.2736,CA,CA,0,legitimate
TXN-L01375,2024-01-29 15:30:00,44.29,9,6,Retail,0,1,6,11.9,1.1123,1,0,1788,0.5982,US,US,0,legitimate
TXN-L03968,2024-03-23 16:00:00,409.64,15,3,Healthcare,5,2,8,43.75,0.2748,0,0,902,0.341,US,CA,0,legitimate
TXN-L04062,2024-03-25 15:00:00,21.1,18,4,Food & Dining,2,3,1,83.98,-0.6079,0,0,3302,0.0499,CA,US,0,legitimate
TXN-L04445,2024-04-02 14:30:00,25.5,21,6,Food & Dining,2,0,7,7.09,-0.1044,0,0,1193,0.2627,US,US,0,legitimate
TXN-L03557,2024-03-15 02:30:00,61.75,11,5,Education,2,2,8,228.4,0.9825,0,0,190,0.5505,US,US,0,legitimate
TXN-L00964,2024-01-21 02:00:00,49.91,12,6,Travel,5,3,3,37.74,-1.1712,0,0,1336,0.4218,UK,UK,0,legitimate
TXN-L00179,2024-01-04 17:30:00,828.96,21,0,Travel,2,1,7,23.16,0.9471,0,0,1389,0.1721,US,US,0,legitimate
TXN-L03698,2024-03-18 01:00:00,138.81,20,5,Entertainment,1,1,4,61.21,0.4459,0,1,2972,0.2467,US,US,0,legitimate
TXN-L03821,2024-03-20 14:30:00,71.47,12,3,Utilities,2,1,6,46.49,-0.7139,0,0,1523,0.3586,US,US,0,legitimate
TXN-F00128,2024-01-11 16:00:00,347.72,2,1,Travel,9,6,19,46.59,4.198,0,1,12,0.935,UK,PH,1,fraud
TXN-L03899,2024-03-22 05:30:00,79.81,14,4,Entertainment,4,0,3,71.59,0.5442,0,0,3287,0.5326,CA,US,0,legitimate
TXN-L04487,2024-04-03 11:30:00,30.63,8,4,Retail,1,1,2,82.92,-1.3738,0,1,913,0.2521,US,US,0,legitimate
TXN-L03238,2024-03-08 11:00:00,65.67,11,4,Food & Dining,0,2,3,35.33,-0.4885,0,1,575,0.5658,UK,UK,0,legitimate
TXN-L02974,2024-03-02 23:00:00,135.82,15,6,Travel,3,1,3,53.81,1.9693,0,0,3142,0.307,US,UK,0,legitimate
TXN-L03580,2024-03-15 14:00:00,457.04,14,5,Entertainment,4,0,5,112.65,-0.2964,0,0,1437,0.2434,US,US,0,legitimate
TXN-L02887,2024-03-01 03:30:00,218.84,17,3,Utilities,5,2,3,24.12,-0.296,0,1,1648,0.5759,CA,US,0,legitimate
TXN-L02575,2024-02-23 15:30:00,17.96,9,1,Entertainment,4,0,4,32.2,-2.3194,1,1,1254,0.2276,US,US,0,legitimate
TXN-L01419,2024-01-30 13:30:00,90.73,9,1,Entertainment,6,4,5,21.87,-0.0825,0,1,3631,0.3897,US,CA,0,legitimate
TXN-L03907,2024-03-22 09:30:00,13.37,19,0,Utilities,6,1,4,46.38,0.7024,0,0,2132,0.4179,CA,US,0,legitimate
TXN-L04673,2024-04-07 08:30:00,19.01,13,0,Healthcare,3,1,3,72.4,-0.3603,1,0,642,0.1558,US,US,0,legitimate
TXN-F00152,2024-01-13 16:00:00,670.28,2,0,Jewelry,9,8,28,60.91,5.9451,1,1,31,0.8778,UK,PH,1,fraud
TXN-L01860,2024-02-08 18:00:00,47.74,15,4,Healthcare,3,0,1,55.32,-0.2589,0,0,1839,0.5961,UK,UK,0,legitimate
TXN-L00008,2024-01-01 04:00:00,34.14,15,2,Entertainment,3,0,5,58.61,-0.0768,0,1,3320,0.5695,AU,US,0,legitimate
TXN-L02894,2024-03-01 07:00:00,90.76,15,2,Utilities,5,4,7,39.16,0.4275,0,0,3552,0.3335,US,CA,0,legitimate
TXN-L02847,2024-02-29 07:30:00,23.64,13,4,Healthcare,4,4,6,45.12,2.3411,0,0,2265,0.3476,AU,CA,0,legitimate
TXN-L03664,2024-03-17 08:00:00,179.96,12,1,Utilities,4,1,1,109.93,1.974,0,1,2710,0.4853,CA,US,0,legitimate
TXN-L00144,2024-01-04 00:00:00,70.8,8,5,Healthcare,3,0,2,53.06,1.4756,0,0,3417,0.2939,US,US,0,legitimate
TXN-L02104,2024-02-13 20:00:00,16.62,19,4,Travel,2,1,4,68.31,-1.0175,0,1,251,0.3431,UK,US,0,legitimate
TXN-L03143,2024-03-06 11:30:00,29.88,18,1,Travel,3,1,1,61.26,-1.0956,0,0,288,0.541,US,US,0,legitimate
TXN-L00841,2024-01-18 12:30:00,107.21,17,1,Food & Dining,0,2,6,77.87,0.5452,0,0,417,0.2892,US,US,0,legitimate
TXN-L01128,2024-01-24 12:00:00,51.21,9,0,Education,2,1,5,33.63,0.8472,0,0,489,0.5788,US,CA,0,legitimate
TXN-L00151,2024-01-04 03:30:00,77.2,13,4,Healthcare,0,0,1,29.81,0.1117,0,0,1626,0.5842,US,US,0,legitimate
TXN-L03591,2024-03-15 19:30:00,99.9,18,1,Travel,2,1,7,77.75,-0.6564,0,0,748,0.5108,AU,US,0,legitimate
TXN-L01052,2024-01-22 22:00:00,89.48,16,5,Healthcare,2,3,5,29.67,-0.3121,1,0,1443,0.3842,US,US,0,legitimate
TXN-L01590,2024-02-03 03:00:00,18.69,20,5,Retail,1,0,8,27.45,-0.0608,0,0,264,0.3911,AU,US,0,legitimate
TXN-L03008,2024-03-03 16:00:00,161.21,16,0,Education,2,1,2,50.58,0.4058,0,1,608,0.1251,UK,CA,0,legitimate
TXN-L02029,2024-02-12 06:30:00,33.39,20,0,Food & Dining,2,0,4,38.74,2.4048,0,1,1657,0.2646,UK,CA,0,legitimate
TXN-L03418,2024-03-12 05:00:00,14.99,10,5,Food & Dining,3,0,3,31.83,0.4946,0,0,2488,0.1906,US,US,0,legitimate
TXN-L01807,2024-02-07 15:30:00,90.81,16,4,Healthcare,0,1,8,67.5,0.0375,0,0,432,0.5589,UK,US,0,legitimate
TXN-L02696,2024-02-26 04:00:00,161.06,20,5,Healthcare,6,2,4,13.67,0.7026,0,1,1506,0.3437,US,CA,0,legitimate
TXN-L03039,2024-03-04 07:30:00,44.41,18,0,Entertainment,5,0,5,62.17,-0.4702,0,0,1797,0.2823,US,US,0,legitimate
TXN-L00472,2024-01-10 20:00:00,12.0,9,1,Retail,4,2,5,43.56,-1.8843,0,0,2702,0.0647,US,US,0,legitimate
TXN-L03289,2024-03-09 12:30:00,40.93,16,1,Entertainment,4,0,6,28.69,-0.7586,1,0,1122,0.1491,US,CA,0,legitimate
TXN-L04074,2024-03-25 21:00:00,34.95,13,5,Utilities,0,0,5,211.56,0.9308,0,1,607,0.4854,UK,CA,0,legitimate
TXN-L03496,2024-03-13 20:00:00,123.41,9,0,Healthcare,1,2,6,104.03,-0.6716,1,1,3591,0.3674,US,CA,0,legitimate
TXN-L00279,2024-01-06 19:30:00,37.14,21,1,Retail,3,0,6,287.27,1.263,0,1,2659,0.0369,CA,CA,0,legitimate
TXN-L01741,2024-02-06 06:30:00,46.12,14,3,Education,4,0,2,80.73,-0.8251,0,1,1485,0.5583,US,US,0,legitimate
TXN-L04624,2024-04-06 08:00:00,77.96,17,0,Food & Dining,1,1,4,26.02,1.5513,0,0,2926,0.1808,CA,US,0,legitimate
TXN-L02886,2024-03-01 03:00:00,32.26,17,1,Utilities,3,0,3,28.49,0.5008,0,0,1453,0.229,US,UK,0,legitimate
TXN-L01941,2024-02-10 10:30:00,36.91,15,4,Utilities,3,2,4,110.03,0.5748,1,0,3167,0.3211,US,US,0,legitimate
TXN-L00100,2024-01-03 02:00:00,13.26,19,1,Entertainment,6,0,4,52.72,-0.0459,0,1,2874,0.1035,US,US,0,legitimate
TXN-L02804,2024-02-28 10:00:00,49.63,20,3,Food & Dining,3,2,6,73.22,-0.9246,0,1,2498,0.0413,AU,US,0,legitimate
TXN-L03570,2024-03-15 09:00:00,40.55,11,1,Healthcare,6,0,3,5.45,0.5282,0,0,1803,0.2435,US,CA,0,legitimate
TXN-L03684,2024-03-17 18:00:00,99.79,21,2,Food & Dining,2,2,6,68.27,-0.1525,0,0,1339,0.1681,AU,US,0,legitimate
TXN-L03661,2024-03-17 06:30:00,26.36,9,3,Entertainment,2,0,2,82.71,-0.1903,0,0,2360,0.0729,US,CA,0,legitimate
