amount,hour_of_day,day_of_week,merchant_category_encoded,transaction_velocity_1h,transaction_velocity_24h,avg_transaction_amount,amount_deviation,is_international,is_online,card_age_days,account_balance_ratio,amount_log,velocity_ratio,amount_zscore,is_night,is_weekend,risk_country_pair,label
28.6,21,5,2,1,6,130.15,-0.1276,0,0,806,0.4744,3.3877743613300146,0.14285714285714285,-0.06617632770364841,0,1,0,0
91.94,16,0,5,0,9,30.76,-1.1199,0,0,3028,0.2766,4.531954123656832,0.0,-0.044245007604711076,0,0,0,0
340.86,16,0,2,1,2,60.46,0.8708,0,0,372,0.487,5.834401296528122,0.3333333333333333,0.04194293364927506,0,0,0,0
2877.01,3,0,8,8,15,20.21,5.7104,1,1,89,0.865,7.96485436207644,0.5,0.9200786688706191,1,0,1,1
1088.32,23,1,9,10,16,30.9,3.4343,1,1,84,0.9151,6.993308927334795,0.5882352941176471,0.3007491306993492,1,0,1,1
215.65,9,0,2,1,5,6.45,0.8437,0,1,845,0.2305,5.378283148185918,0.16666666666666666,-0.0014107226435563886,0,0,0,0
75.78,8,6,3,0,4,72.66,1.5907,0,1,208,0.0993,4.340944189572651,0.0,-0.04984036808464204,0,1,0,0
14.98,19,4,0,1,4,36.24,0.3196,0,0,358,0.0339,2.7713379403381286,0.2,-0.0708922193952734,0,0,0,0
149.3,14,4,1,1,6,185.27,-0.3234,0,0,779,0.1689,5.012633296758929,0.14285714285714285,-0.024384247881391756,0,0,0,0
1603.66,1,3,7,4,19,3.53,1.1524,1,1,48,0.9626,7.380667175117046,0.2,0.4791843454102171,1,0,1,1
123.7,18,1,0,2,7,58.42,1.2689,1,0,2088,0.3072,4.825910852685991,0.25,-0.033248185275341804,0,0,1,0
43.49,10,0,6,3,5,49.69,0.5823,0,1,1377,0.2043,3.7952644448179504,0.5,-0.06102070161787043,0,0,0,0
47.59,21,3,5,1,3,23.82,0.2076,1,0,813,0.1762,3.883417748417812,0.25,-0.059601086644620625,0,0,1,0
40.78,14,5,2,1,3,90.02,0.6894,0,0,180,0.286,3.7324177561284198,0.25,-0.061959032490433115,0,1,0,0
211.93,8,3,0,1,1,12.98,-1.9188,0,0,1390,0.337,5.360963473198307,0.5,-0.002698763546114754,0,0,0,0
146.1,14,3,2,2,5,44.37,1.5853,0,1,2265,0.3305,4.991112627607392,0.3333333333333333,-0.025492240055635516,0,0,0,0
205.5,17,3,5,0,9,139.76,0.5769,0,1,3382,0.5735,5.330300412401088,0.0,-0.0049251353212358025,0,0,0,0
25.54,17,1,1,0,7,29.07,-1.0389,0,1,1545,0.5008,3.2786530289040616,0.0,-0.067235845220269,0,0,0,0
2.96,18,4,0,1,2,37.21,-0.9983,1,0,645,0.3384,1.3762440252663892,0.3333333333333333,-0.0750541149997765,0,0,1,0
86.13,16,1,5,3,2,26.43,0.8881,0,0,400,0.0802,4.467401256243195,1.0,-0.0462567058960724,0,0,0,0
94.94,17,0,6,1,5,24.52,0.2561,0,0,1643,0.5563,4.563722996073918,0.16666666666666666,-0.043206264941357556,0,0,0,0
40.06,19,3,6,2,9,10.24,1.2547,1,0,2321,0.2751,3.7150344115907874,0.2,-0.06220833072963796,0,0,0,0
163.38,19,1,5,2,4,55.46,1.1295,0,0,1982,0.4928,5.102180820720354,0.4,-0.019509082314719237,0,0,0,0
23.76,12,5,6,1,4,37.78,0.9167,0,0,1863,0.3983,3.2092294478163956,0.2,-0.06785216586719209,0,1,0,0
30.3,18,0,0,0,4,353.52,0.0987,0,0,2482,0.2416,3.4436180975461075,0.0,-0.06558770686108141,0,0,0,0
45.92,8,4,6,2,5,28.85,0.578,0,1,1603,0.167,3.848444023785275,0.3333333333333333,-0.06017932006055408,0,0,0,0
68.99,15,1,4,1,8,58.11,-0.7486,0,1,209,0.2783,4.248352374701448,0.1111111111111111,-0.052191388979365504,0,0,0,0
47.48,19,0,3,3,5,123.25,0.7335,0,1,1368,0.4693,3.881151341761059,0.5,-0.059639173875610255,0,0,0,0
42.72,13,1,1,2,6,184.33,0.184,1,0,1014,0.2207,3.777805663308338,0.2857142857142857,-0.06128731223479784,0,0,0,0
42.99,13,1,4,1,5,95.49,0.5334,0,0,1240,0.4272,3.7839623353606284,0.16666666666666666,-0.06119382539509602,0,0,0,0
56.73,20,0,5,1,4,124.68,1.6694,0,1,764,0.5792,4.055776969072842,0.2,-0.0564363839969369,0,0,0,0
14.5,13,0,0,0,5,17.85,-0.2281,1,0,3018,0.2755,2.740840023925201,0.0,-0.07105841822140996,0,0,0,0
14.05,15,6,1,0,4,26.15,0.5841,1,1,3057,0.2001,2.711377991194885,0.0,-0.07121422962091298,0,1,0,0
226.9,12,3,3,3,8,85.27,-0.8413,0,1,807,0.141,5.4289069362516384,0.3333333333333333,0.0024845623440193144,0,0,0,0
54.21,12,5,2,2,5,79.1,1.1002,0,0,2363,0.5155,4.011144096295953,0.3333333333333333,-0.05730892783415385,0,1,0,0
13.13,16,0,6,4,2,20.13,-0.5311,0,0,3467,0.1079,2.6483001966964363,1.3333333333333333,-0.07153277737100806,0,0,0,0
74.54,9,2,5,1,11,45.57,1.0425,0,0,3292,0.5396,4.324662317284311,0.08333333333333333,-0.05026971505216149,0,0,0,0
110.62,20,6,5,1,7,123.91,-0.964,0,1,3462,0.5405,4.715100245360287,0.125,-0.03777710328756315,0,1,0,0
71.23,12,4,6,0,5,208.61,0.9149,0,1,2494,0.3802,4.2798554720627555,0.0,-0.05141579445739487,0,0,0,0
65.28,13,4,3,0,4,32.04,0.058,0,0,1728,0.2332,4.193888192558362,0.0,-0.05347596740637937,0,0,0,0
50.35,20,4,4,1,4,17.65,-0.3667,0,0,2243,0.1663,3.9386649363745674,0.2,-0.05864544339433539,0,0,0,0
17.69,18,3,3,1,3,33.83,-0.3981,0,1,1648,0.0815,2.9279886214674717,0.25,-0.06995388852271071,0,0,0,0
24.33,17,1,2,2,3,46.7,-0.7661,0,0,2528,0.3544,3.231989464013584,0.5,-0.06765480476115493,0,0,0,0
18.58,21,6,1,4,2,81.48,0.8556,0,0,738,0.0918,2.9745086371023644,1.3333333333333333,-0.06964572819924918,0,1,0,0
134.24,13,0,2,1,3,9.98,0.8522,0,1,197,0.0096,4.907050977839686,0.25,-0.02959873605142643,0,0,0,0
137.64,17,0,0,3,5,44.3,-0.5342,0,0,1353,0.4692,4.93188064540735,0.5,-0.028421494366292446,0,0,0,0
15.81,18,0,3,0,5,22.29,0.2912,1,0,585,0.2779,2.821973947420524,0.0,-0.07060483392507892,0,0,0,0
49.57,17,3,2,0,5,24.14,0.4621,0,1,2523,0.1512,3.9233585150918917,0.0,-0.058915516486807304,0,0,0,0
806.77,16,0,1,0,6,121.23,1.7252,0,1,2508,0.0532,6.694277364534261,0.0,0.20326313174362132,0,0,0,0
100.17,19,5,5,2,6,29.21,1.3681,0,0,701,0.5791,4.616802270217799,0.2857142857142857,-0.041395390231577914,0,1,0,0
191.11,15,1,2,2,5,73.78,0.1409,0,0,2094,0.151,5.258068124640351,0.3333333333333333,-0.009907637629788186,0,0,0,0
22.11,8,0,0,0,7,28.59,1.7549,0,0,2472,0.4619,3.1402654242862895,0.0,-0.06842347433203652,0,0,0,0
92.03,10,0,5,2,6,11.78,0.5912,0,0,2982,0.5758,4.532922021780467,0.2857142857142857,-0.04421384532481047,0,0,0,0
30.42,12,6,2,2,6,44.46,-0.8868,1,1,2666,0.1849,3.4474446328274753,0.2857142857142857,-0.06554615715454727,0,1,0,0
1330.23,13,3,5,1,7,49.49,0.9728,0,0,2441,0.4713,7.1938586058707035,0.125,0.38450987659663266,0,0,0,0
8.42,13,5,0,3,4,39.74,0.375,0,1,1520,0.3935,2.2428350885882717,0.6,-0.0731636033524731,0,1,0,0
475.8,9,1,3,0,5,19.19,-1.502,0,1,607,0.1888,6.16709711575114,0.0,0.08866557864691642,0,0,0,0
49.6,10,0,6,1,3,68.15,-0.6036,0,0,1920,0.1906,3.92395157629342,0.25,-0.05890512906017377,0,0,0,0
57.93,19,6,3,0,3,344.76,-2.0865,0,0,3254,0.0827,4.076350298849822,0.0,-0.05602088693159549,0,1,0,0
117.8,0,3,8,8,24,74.49,5.3257,1,1,27,0.9514,4.777441406928545,0.32,-0.035291045846603725,1,0,1,1
13.02,18,6,6,0,5,97.98,-0.3792,0,0,3299,0.2733,2.640484881606444,0.0,-0.07157086460199769,0,1,0,0
25.87,20,1,4,2,6,391.82,1.2425,0,1,1103,0.4891,3.2910104226273997,0.2857142857142857,-0.06712158352730012,0,0,0,0
32.12,16,5,1,0,5,51.33,1.5468,0,0,2076,0.4301,3.500137329517059,0.0,-0.06495753631198029,0,1,0,0
87.69,21,4,2,0,4,56.66,-0.7436,0,0,1428,0.1179,4.485147143388361,0.0,-0.04571655971112856,0,0,0,0
49.46,14,0,1,3,2,64.37,0.2251,0,1,1229,0.1442,3.921180943212912,1.0,-0.058953603717796926,0,0,0,0
45.14,13,0,1,2,7,136.53,-0.6556,0,1,270,0.4309,3.8316802527456075,0.25,-0.060449393153026006,0,0,0,0
91.73,12,1,4,3,6,21.9,-1.101,0,1,1288,0.1303,4.529692044812134,0.42857142857142855,-0.04431771959114582,0,0,0,0
147.91,14,0,5,1,7,15.06,0.4115,0,0,2219,0.076,5.003342096602114,0.125,-0.02486553198207889,0,0,0,0
162.19,17,0,5,1,8,37.65,-0.0732,0,0,2121,0.1828,5.094915166142843,0.1111111111111111,-0.01992111690451613,0,0,0,0
142.49,17,0,1,0,6,60.77,-0.5185,0,0,526,0.1634,4.9662653463603155,0.0,-0.02674219372720425,0,0,0,0
7.48,12,2,4,1,6,32.86,-0.0327,0,0,503,0.5758,2.1377104498038118,0.14285714285714285,-0.0734890760536572,0,0,0,0
23.88,10,6,3,1,4,60.55,-1.7123,1,0,1793,0.2628,3.2140642678709788,0.2,-0.06781061616065795,0,1,1,0
94.32,16,5,5,2,6,78.65,1.4147,0,1,710,0.5691,4.557239652230542,0.2857142857142857,-0.04342093842511729,0,1,0,0
55.68,9,2,4,1,2,79.94,0.9525,0,0,784,0.3688,4.03742141482248,0.3333333333333333,-0.05679994392911063,0,0,0,0
90.03,19,5,6,0,5,20.87,0.4012,1,1,1008,0.149,4.511189122517197,0.0,-0.04490634043371282,0,1,1,0
43.77,16,2,4,0,5,62.71,-0.3268,0,0,2055,0.1778,3.8015382722528743,0.0,-0.060923752302624104,0,0,0,0
319.08,21,1,4,0,3,26.06,0.1815,0,0,1301,0.3011,5.76857096454898,0.0,0.03440166191332849,0,0,0,0
358.22,20,3,6,1,3,24.65,-0.8925,0,1,3445,0.3558,5.883935014165316,0.25,0.047953791194547436,0,0,0,0
38.97,17,3,6,0,5,54.94,0.3424,0,1,2492,0.3774,3.688129172723232,0.0,-0.06258574056398974,0,0,0,0
177.71,12,3,5,1,8,17.99,-0.1593,0,1,2772,0.5417,5.185764380308706,0.1111111111111111,-0.014547354859433915,0,0,0,0
37.03,9,3,4,1,9,8.77,-0.2988,0,0,188,0.3389,3.638375321940168,0.1,-0.06325746081962502,0,0,0,0
13.17,16,4,2,0,5,69.45,-0.5977,1,0,2360,0.3221,2.6511270537025893,0.0,-0.07151892746883003,0,0,1,0
50.83,16,3,5,0,5,14.59,-0.1437,0,0,2118,0.356,3.947969132201615,0.0,-0.05847924456819883,0,0,0,0
17.71,10,3,3,2,3,157.74,-0.0474,0,0,506,0.4138,2.9290581402859983,0.5,-0.0699469635716217,0,0,0,0
29.23,18,4,2,2,11,141.02,0.9121,0,0,735,0.4926,3.408834808791367,0.16666666666666666,-0.06595819174434417,0,0,0,0
291.34,11,3,3,0,8,128.13,1.1149,0,0,2978,0.4,5.677917508461147,0.0,0.02479675475285293,0,0,0,0
26.6,14,0,6,1,9,36.07,0.2042,0,0,1491,0.1778,3.3178157727231046,0.1,-0.06686882281255076,0,0,0,0
41.98,19,1,1,0,5,33.71,0.2145,0,0,2211,0.1088,3.7607348912143643,0.0,-0.061543535425091715,0,0,0,0
154.33,14,1,5,0,5,100.19,-0.4756,0,0,2547,0.2447,5.045551885999816,0.0,-0.02264262268250235,0,0,0,0
24.72,11,5,0,1,4,10.37,0.2986,1,0,1710,0.3105,3.2472688993694185,0.2,-0.06751976821491897,0,1,1,0
101.19,18,6,6,0,4,38.39,0.5903,0,0,371,0.5487,4.626833825624118,0.0,-0.04104221772603772,0,1,0,0
45.93,14,1,2,1,3,17.82,-0.3637,0,1,835,0.0756,3.8486571298063263,0.25,-0.06017585758500957,0,0,0,0
176.4,15,1,1,2,3,106.36,0.7279,0,0,3193,0.4065,5.178407069875479,0.5,-0.015000939155764953,0,0,0,0
3318.02,1,1,7,7,11,4.93,5.6644,1,1,27,0.8447,8.107424837613237,0.5833333333333334,1.072777302859131,1,0,1,1
17.41,18,5,5,1,3,101.53,0.7656,0,1,2916,0.4319,2.9128939952449864,0.25,-0.07005083783795704,0,1,0,0
9.72,17,1,2,2,8,30.17,-0.0683,0,0,1777,0.4738,2.372111155642656,0.2222222222222222,-0.07271348153168657,0,0,0,0
60.21,19,0,5,1,7,121.94,-0.9681,0,1,2496,0.1997,4.114310574862978,0.125,-0.05523144250744681,0,0,0,0
38.16,16,0,2,1,10,138.64,-0.2669,0,1,1600,0.0402,3.6676558176623097,0.09090909090909091,-0.0628662010830952,0,0,0,0
275.92,1,3,9,8,21,11.02,4.7127,1,1,20,0.8774,5.623728655809825,0.36363636363636365,0.019457617463215848,1,0,1,1
7.94,21,2,5,2,5,30.71,-0.0699,0,0,1006,0.0073,2.190535589185423,0.3333333333333333,-0.07332980217860965,0,0,0,0
126.72,13,5,6,2,2,48.04,-0.7084,0,0,918,0.1677,4.849840367846581,0.6666666666666666,-0.03220251766089926,0,1,0,0
23.66,21,3,6,2,9,39.48,-0.2657,0,0,2112,0.136,3.2051824977361982,0.2,-0.06788679062263721,0,0,0,0
96.78,14,3,0,2,3,18.9,1.0709,0,0,2221,0.1708,4.5827200571505,0.5,-0.0425691694411674,0,0,0,0
66.34,19,6,0,0,11,13.14,-0.4032,0,0,1784,0.2736,4.209754413732928,0.0,-0.05310894499866112,0,1,0,0
44.29,9,6,0,1,6,11.9,1.1123,1,0,1788,0.5982,3.8130862575681226,0.14285714285714285,-0.0607437035743095,0,1,0,0
409.64,15,3,5,2,8,43.75,0.2748,0,0,902,0.341,6.017716918252048,0.2222222222222222,0.06575784044442677,0,0,0,0
21.1,18,4,2,3,1,83.98,-0.6079,0,0,3302,0.0499,3.095577608523707,1.5,-0.06877318436203221,0,0,0,0
25.5,21,6,2,0,7,7.09,-0.1044,0,0,1193,0.2627,3.2771447329921766,0.0,-0.06724969512244705,0,1,0,0
61.75,11,5,2,2,8,228.4,0.9825,0,0,190,0.5505,4.139158578011894,0.2222222222222222,-0.05469822127359201,0,1,0,0
49.91,12,6,5,3,3,37.74,-1.1712,0,0,1336,0.4218,3.9300593679142444,0.75,-0.05879779231829391,0,1,0,0
828.96,21,0,2,1,7,23.16,0.9471,0,0,1389,0.1721,6.72137750685825,0.125,0.21094636497689287,0,0,0,0
138.81,20,5,1,1,4,61.21,0.4459,0,1,2972,0.2467,4.940284357999733,0.2,-0.028016384727584567,0,1,0,0
71.47,12,3,2,1,6,46.49,-0.7139,0,0,1523,0.3586,4.28317268312119,0.14285714285714285,-0.0513326950443266,0,0,0,0
347.72,2,1,9,6,19,46.59,4.198,0,1,12,0.935,5.854269307930137,0.3,0.044318191872810116,1,0,0,1
79.81,14,4,4,0,3,71.59,0.5442,0,0,3287,0.5326,4.392100720245356,0.0,-0.04844499044020381,0,0,0,0
30.63,8,4,1,1,2,82.92,-1.3738,0,1,913,0.2521,3.4541060373175574,0.3333333333333333,-0.06547344516811253,0,0,0,0
65.67,11,4,0,2,3,35.33,-0.4885,0,1,575,0.5658,4.199755076629969,0.5,-0.0533409308601434,0,0,0,0
135.82,15,6,3,1,3,53.81,1.9693,0,0,3142,0.307,4.918666193332852,0.25,-0.02905166491539358,0,1,0,0
457.04,14,5,4,0,5,112.65,-0.2964,0,0,1437,0.2434,6.126956516545139,0.0,0.08216997452541241,0,1,0,0
218.84,17,3,5,2,3,24.12,-0.296,0,1,1648,0.5759,5.392900009033984,0.5,-0.0003061929448571457,0,0,0,0
17.96,9,1,4,0,4,32.2,-2.3194,1,1,1254,0.2276,2.942331496826876,0.0,-0.0698604016830089,0,0,0,0
90.73,9,1,6,4,5,21.87,-0.0825,0,1,3631,0.3897,4.518849479521564,0.6666666666666666,-0.04466396714559699,0,0,0,0
13.37,19,0,6,1,4,46.38,0.7024,0,0,2132,0.4179,2.6651427000909336,0.2,-0.07144967795793979,0,0,0,0
19.01,13,0,3,1,3,72.4,-0.3603,1,0,642,0.1558,2.996232148595642,0.25,-0.06949684175083518,0,0,0,0
670.28,2,0,9,8,28,60.91,5.9451,1,1,31,0.8778,6.509186337561814,0.27586206896551724,0.15600380303658065,1,0,1,1
47.74,15,4,3,0,1,55.32,-0.2589,0,0,1839,0.5961,3.8865000481970604,0.0,-0.059549149511452945,0,0,0,0
34.14,15,2,3,0,5,58.61,-0.0768,0,1,3320,0.5695,3.559340082758951,0.0,-0.06425811625198892,0,0,0,0
90.76,15,2,5,4,7,39.16,0.4275,0,0,3552,0.3335,4.5191764728211155,0.5,-0.044653579718963464,0,0,0,0
23.64,13,4,4,4,6,45.12,2.3411,0,0,2265,0.3476,3.204371138665319,0.5714285714285714,-0.06789371557372624,0,0,0,0
179.96,12,1,4,1,1,109.93,1.974,0,1,2710,0.4853,5.198276012367811,0.5,-0.013768297861918773,0,0,0,0
70.8,8,5,3,0,2,53.06,1.4756,0,0,3417,0.2939,4.273884476054178,0.0,-0.05156468090580888,0,1,0,0
16.62,19,4,2,1,4,68.31,-1.0175,0,1,251,0.3431,2.8690346205080335,0.2,-0.07032437340597347,0,0,0,0
29.88,18,1,3,1,1,61.26,-1.0956,0,0,288,0.541,3.4301087251565754,0.5,-0.06573313083395091,0,0,0,0
107.21,17,1,0,2,6,77.87,0.5452,0,0,417,0.2892,4.684073783583557,0.2857142857142857,-0.038957807448241656,0,0,0,0
51.21,9,0,2,1,5,33.63,0.8472,0,0,489,0.5788,3.955274047422461,0.16666666666666666,-0.05834767049750737,0,0,0,0
77.2,13,4,0,0,1,29.81,0.1117,0,0,1626,0.5842,4.359269647551265,0.0,-0.04934869655732138,0,0,0,0
99.9,18,1,2,1,7,77.75,-0.6564,0,0,748,0.5108,4.6141299273595635,0.125,-0.04148887707127973,0,0,0,0
89.48,16,5,2,3,5,29.67,-0.3121,1,0,1443,0.3842,4.505128831807865,0.5,-0.04509677658866096,0,1,0,0
18.69,20,5,1,0,8,27.45,-0.0608,0,0,264,0.3911,2.9801108926510342,0.0,-0.06960764096825954,0,1,0,0
161.21,16,0,2,1,2,50.58,0.4058,0,1,608,0.1251,5.088891792062023,0.3333333333333333,-0.02026043950787828,0,0,0,0
33.39,20,0,2,0,4,38.74,2.4048,0,1,1657,0.2646,3.537765824444175,0.0,-0.0645178019178273,0,0,0,0
14.99,10,5,3,0,3,31.83,0.4946,0,0,2488,0.1906,2.771963526845863,0.0,-0.07088875691972889,0,1,0,0
90.81,16,4,0,1,8,67.5,0.0375,0,0,432,0.5589,4.519721224155608,0.1111111111111111,-0.044636267341240904,0,0,0,0
161.06,20,5,6,2,4,13.67,0.7026,0,1,1506,0.3437,5.087966637032579,0.4,-0.020312376641045956,0,1,0,0
44.41,18,0,5,0,5,62.17,-0.4702,0,0,1797,0.2823,3.8157323451098595,0.0,-0.06070215386777536,0,0,0,0
12.0,9,1,4,2,5,43.56,-1.8843,0,0,2702,0.0647,2.5649493574615367,0.3333333333333333,-0.07192403710753789,0,0,0,0
40.93,16,1,4,0,6,28.69,-0.7586,1,0,1122,0.1491,3.7360015611826713,0.0,-0.06190709535726544,0,0,1,0
34.95,13,5,0,0,5,211.56,0.9308,0,1,607,0.4854,3.5821290841670557,0.0,-0.06397765573288346,0,1,0,0
123.41,9,0,1,2,6,104.03,-0.6716,1,1,3591,0.3674,4.8235825629264,0.2857142857142857,-0.03334859706613264,0,0,1,0
37.14,21,1,3,0,6,287.27,1.263,0,1,2659,0.0369,3.641263600172273,0.0,-0.0632193735886354,0,0,0,0
46.12,14,3,4,0,2,80.73,-0.8251,0,1,1485,0.5583,3.8526975393433314,0.0,-0.06011007054966385,0,0,0,0
77.96,17,0,1,1,4,26.02,1.5513,0,0,2926,0.1808,4.368941395125226,0.2,-0.04908554841593849,0,0,0,0
32.26,17,1,3,0,3,28.49,0.5008,0,0,1453,0.229,3.5043554737647815,0.0,-0.06490906165435711,0,0,0,0
36.91,15,4,3,2,4,110.03,0.5748,1,0,3167,0.3211,3.635214929528243,0.4,-0.06329901052615916,0,0,0,0
13.26,19,1,6,0,4,52.72,-0.0459,0,1,2874,0.1035,2.65745841498615,0.0,-0.07148776518892942,0,0,0,0
49.63,20,3,3,2,6,73.22,-0.9246,0,1,2498,0.0413,3.924544285981818,0.2857142857142857,-0.058894741633540235,0,0,0,0
40.55,11,1,6,0,3,5.45,0.5282,0,0,1803,0.2435,3.7268975213014572,0.0,-0.06203866942795688,0,0,0,0
99.79,21,2,2,2,6,68.27,-0.1525,0,0,1339,0.1681,4.613039144366787,0.2857142857142857,-0.04152696430226936,0,0,0,0
26.36,9,3,2,0,2,82.71,-0.1903,0,0,2360,0.0729,3.3090820927543496,0.0,-0.06695192222561903,0,0,0,0
103.4,15,5,1,0,3,32.72,-0.6479,0,0,2552,0.1794,4.648229675448539,0.0,-0.040277010630700626,0,1,0,0
24.3,19,6,1,0,3,54.03,-1.8135,0,0,563,0.488,3.2308043957334744,0.0,-0.06766519218778845,0,1,0,0
17.65,17,1,5,0,5,22.88,0.6315,0,1,3190,0.106,2.9258461460898246,0.0,-0.06996773842488876,0,0,0,0
55.03,13,3,5,0,4,47.42,0.0326,1,0,2580,0.0042,4.025887261577193,0.0,-0.057025004839503894,0,0,1,0
36.15,10,6,1,2,5,168.44,-1.9567,0,0,2585,0.1774,3.6149637711637683,0.3333333333333333,-0.06356215866754204,0,1,0,0
28.74,11,3,6,0,5,445.76,2.1374,0,0,1013,0.4111,3.392492941032009,0.0,-0.06612785304602524,0,0,0,0
103.07,21,5,1,1,4,30.78,0.9647,0,0,2186,0.3378,4.6450637496497675,0.2,-0.040391272323669514,0,1,0,0
59.06,18,6,1,1,7,99.53,-0.6455,0,0,1081,0.3722,4.095344062555184,0.125,-0.055629627195065666,0,1,0,0
41.19,11,5,1,1,6,21.67,-2.044,0,0,2946,0.4442,3.7421832261362473,0.14285714285714285,-0.06181707099310814,0,1,0,0
9.24,14,5,3,0,3,94.21,0.0735,0,0,2082,0.1401,2.3263016196113617,0.0,-0.07287968035782313,0,1,0,0
88.31,17,1,0,1,4,40.97,-0.1455,0,1,2453,0.1757,4.4921134636957945,0.2,-0.04550188622736884,0,0,0,0
65.12,19,4,5,1,9,32.94,0.6605,0,1,875,0.5939,4.191471272952824,0.1,-0.05353136701509155,0,0,0,0
97.77,17,6,0,1,7,37.15,-0.6966,0,1,730,0.1185,4.592793914920036,0.125,-0.042226384362260734,0,1,0,0
172.31,18,0,1,2,5,28.76,-1.5782,0,0,1200,0.1191,5.155081898461284,0.3333333333333333,-0.016417091653470252,0,0,0,0
86.03,16,1,3,0,4,377.37,-1.8496,0,1,1272,0.3661,4.466252886801422,0.0,-0.04629133065151751,0,0,0,0
298.7,20,4,6,0,9,51.04,-0.5246,0,0,3293,0.2425,5.702781974322617,0.0,0.027345136753613573,0,0,0,0
18.63,13,1,1,3,2,125.04,-0.4699,0,1,1849,0.0275,2.9770590082883697,1.0,-0.06962841582152661,0,0,0,0
